Age,Annual Income,Occupation,AccountBalance,credit_score,Gender,Education,Active_loans,Bank_Products,Fixed Deposit,Tenure,LastMonthTrans,Networth,Married,Dependents,Vehicle,House
21,0,Other,5000,480,Male,Under Graduate,0,1,No,1,54,13500,no,0,no,rented
49,700000,Other,100000,750,Male,Graduate,0,1,Yes,13,21,2600000,yes,3,no,rented
21,0,Other,5000,771,Male,Under Graduate,0,1,No,2,69,17500,no,0,no,rented
60,600000,Salaried,70000,700,Male,Post Graduate,0,1,No,15,13,3100000,yes,2,yes,own
55,500000,Other,10000,700,Male,Graduate,0,1,No,14,22,1600000,yes,4,no,rented
30,720000,Salaried,200000,750,Male,Post Graduate,1,6,Yes,14,61,400000,yes,2,yes,rented
55,600000,Other,100000,789,Male,Under Graduate,2,3,No,19,24,3700000,yes,3,no,rented
28,120000,Housewife,20000,786,Female,Under Graduate,0,1,No,6,65,50599,yes,1,no,own
54,240000,Other,5000,768,Female,Under Graduate,1,2,No,17,34,134000,yes,3,yes,rented
57,1180471.067,Salaried,1063824.435,671.8123098,Female,Post Graduate,1,1,Yes,33,28,9679370.253,yes,4,yes,owned
53,790326.9671,Business,881942.5533,788.2290684,Male,Post Graduate,1,6,No,16,45,9672075.192,no,0,no,owned
50,556881.6055,Business,822661.7973,803.7116322,Male,Under Graduate,3,4,No,28,20,9431464.213,no,1,yes,own
67,612937.7203,Salaried,810495.6839,733.2720145,Female,Post Graduate,0,2,No,4,11,9717544.374,no,0,yes,owned
36,589435.3078,Salaried,813172.5394,760.5185351,Female,Post Graduate,0,6,No,9,24,10966015.51,yes,2,yes,own
46,756641.1784,Other,590326.7848,775.8017167,Male,Under Graduate,0,4,No,2,22,10503368.8,yes,0,no,own
27,613745.5648,Salaried,527886.0216,691.500646,Male,Graduate,3,1,Yes,3,49,10311299.75,no,1,no,own
65,1180225.081,Business,502795.06,708.9372856,Male,Post Graduate,1,3,Yes,28,16,10859934.53,no,1,no,owned
52,964458.9643,Business,806982.4583,751.8700295,Female,Graduate,0,2,Yes,2,58,9200180.168,yes,2,no,owned
47,928887.8471,Other,696029.4865,679.8249808,Female,Under Graduate,3,6,No,20,18,10890348.44,yes,0,yes,rented
55,563592.8882,Housewife,1057100.585,760.7419443,Female,Graduate,2,5,Yes,1,16,9277838.976,no,0,no,owned
34,644465.5115,Business,607641.653,753.447481,Female,Under Graduate,2,4,Yes,15,52,10097560.75,yes,0,yes,own
60,1048833.02,Salaried,1066215.909,788.0147184,Female,Graduate,0,4,No,37,15,10909703.28,no,1,yes,owned
67,515089.525,Salaried,702984.6835,641.4770604,Male,Graduate,2,3,Yes,37,52,10561951.77,no,1,no,owned
48,880277.5267,Other,1016792.149,751.8134186,Male,Post Graduate,0,6,No,15,21,10203618.6,no,1,yes,own
48,1065657.038,Housewife,970954.3761,650.2423589,Female,Under Graduate,2,4,Yes,25,16,9537047.546,yes,2,yes,own
57,1163965.864,Salaried,747662.6702,616.5059957,Female,Post Graduate,2,1,No,19,15,10915115.32,no,0,no,owned
45,686679.5006,Other,687417.0013,752.9800013,Female,Post Graduate,0,6,Yes,17,40,10592203.26,no,2,yes,rented
66,1140054.206,Housewife,793778.9804,715.8029932,Male,Post Graduate,3,3,Yes,24,47,9956440.717,yes,4,no,owned
65,1017541.882,Salaried,1172467.276,744.9258761,Male,Under Graduate,2,5,Yes,15,44,10531031.26,no,0,yes,owned
38,511487.1015,Housewife,547898.2556,813.6612765,Male,Post Graduate,0,3,Yes,10,24,10638471.94,no,2,no,own
46,663637.1889,Housewife,547292.5312,612.8065646,Female,Under Graduate,0,5,Yes,23,11,9656193.151,yes,0,yes,own
58,572606.9804,Business,670657.6416,651.9314326,Female,Under Graduate,1,4,Yes,31,42,9868814.735,no,2,yes,owned
30,870112.9611,Other,862599.3204,611.8581423,Male,Graduate,2,2,Yes,8,32,9331963.119,no,0,yes,own
59,610427.7113,Housewife,1182606.217,815.8112404,Female,Post Graduate,0,1,Yes,37,30,9238698.386,no,2,yes,owned
62,1046669.242,Housewife,519770.4594,671.5725638,Female,Post Graduate,0,3,Yes,43,26,9178175.845,yes,3,yes,owned
49,1053677.463,Other,997925.4981,756.7308052,Male,Graduate,3,2,Yes,8,44,10059301.12,no,2,yes,own
26,636259.4751,Business,599610.2522,767.8119828,Female,Graduate,1,3,No,2,58,10902928.89,no,0,yes,own
46,829338.9372,Housewife,692325.0192,604.2140611,Male,Under Graduate,3,1,No,14,48,9977878.014,yes,1,yes,own
27,914641.0398,Business,796557.8858,630.302589,Female,Graduate,1,6,No,8,28,9883879.565,yes,2,no,rented
62,574731.9215,Other,810099.4086,802.0269989,Male,Under Graduate,1,1,Yes,37,45,9977140.852,yes,4,yes,owned
26,786953.5532,Housewife,1007743.255,748.1165647,Male,Under Graduate,0,6,Yes,7,45,10593600.04,no,0,yes,own
26,562216.7324,Business,595071.0229,675.1550936,Female,Under Graduate,2,1,No,7,34,10343210.49,no,0,no,rented
29,767430.8158,Housewife,517044.8876,842.4116143,Male,Under Graduate,0,2,No,4,22,10103109.33,no,1,yes,rented
38,1124155.745,Other,1077237.094,779.5679803,Female,Graduate,3,5,Yes,9,32,9400269.859,yes,3,yes,own
54,506004.6221,Salaried,1175617.868,717.6160387,Male,Post Graduate,1,2,No,18,30,10904151.52,yes,3,no,owned
38,1056028.085,Salaried,585749.1706,673.2110184,Male,Graduate,3,4,No,2,41,10820048.21,no,1,yes,rented
54,1064330.069,Other,1114306.86,814.1730274,Female,Under Graduate,1,1,Yes,11,46,10667101.17,yes,3,no,owned
64,929306.9926,Business,982473.6734,685.2056828,Male,Post Graduate,0,4,Yes,5,26,10523744.86,yes,4,yes,owned
39,1132073.925,Business,1118045.484,815.4861907,Female,Graduate,0,3,No,16,18,9554706.15,no,1,no,rented
45,732366.0498,Salaried,650397.4539,775.7569496,Female,Post Graduate,0,6,Yes,20,49,9286785.975,yes,3,yes,rented
39,740710.5515,Other,1127300.974,801.7791534,Male,Under Graduate,2,2,Yes,1,38,10651781.5,yes,4,no,rented
44,579136.0928,Other,731044.0521,648.8605007,Male,Graduate,0,4,Yes,17,14,10290607.2,yes,4,yes,rented
27,1048283.319,Business,913860.1198,740.0403556,Male,Graduate,3,4,No,5,54,10277295.72,yes,3,yes,own
56,511770.3763,Housewife,511632.2579,716.8486807,Male,Graduate,2,3,No,17,35,10364706.87,no,2,yes,owned
61,623047.308,Business,851930.0486,812.3647662,Female,Post Graduate,1,1,No,22,40,10923426.29,yes,4,yes,owned
65,1055749.892,Housewife,786476.2101,713.706154,Female,Post Graduate,1,3,Yes,3,50,9836912.54,yes,1,no,owned
36,1073838.262,Business,804370.82,751.9375972,Male,Post Graduate,1,1,No,15,21,9573444.819,yes,2,yes,rented
26,515590.308,Housewife,981907.1508,811.7916049,Male,Under Graduate,0,5,No,2,23,9549546.316,yes,1,no,own
29,894266.4601,Business,1093038.341,766.875315,Male,Under Graduate,3,5,No,2,41,9460225.226,yes,2,yes,rented
30,694200.8969,Business,529643.7012,736.4750154,Male,Graduate,3,4,No,9,45,9809502.508,yes,1,no,own
59,648714.7415,Other,1082682.839,812.4126569,Male,Graduate,3,6,No,7,36,9951600.376,no,2,yes,owned
65,851926.1476,Housewife,1009501.581,825.9738034,Male,Post Graduate,3,5,Yes,9,48,9231845.751,no,0,yes,owned
62,517873.5032,Housewife,776447.8673,661.39172,Female,Post Graduate,2,6,Yes,24,44,10294242.72,no,1,yes,rented
55,962732.6708,Other,772346.0238,800.9736078,Female,Under Graduate,1,5,Yes,15,53,10188455.28,yes,4,no,owned
43,683825.5998,Other,1011090.277,632.8486626,Male,Post Graduate,0,6,Yes,20,52,10385546.1,no,2,no,rented
65,1134344.324,Housewife,1165910.163,759.17338,Female,Post Graduate,0,4,No,14,39,9226601.932,no,0,no,owned
47,1039510.99,Housewife,694221.9112,617.5260744,Female,Post Graduate,0,4,No,9,45,10227854.26,no,2,no,own
63,601584.5176,Salaried,720447.3849,820.047844,Female,Under Graduate,2,5,No,43,57,9307035.038,no,0,yes,rented
63,900843.2356,Other,788779.2947,749.8777026,Female,Post Graduate,1,5,No,6,17,10054999.94,no,0,yes,rented
28,669183.2342,Housewife,846229.8849,759.3292696,Male,Post Graduate,3,6,Yes,8,49,10993561.02,no,0,yes,rented
26,521003.1921,Business,814447.5213,697.7091926,Male,Under Graduate,2,1,No,1,44,10427330.09,no,1,no,rented
48,620102.5558,Salaried,530180.6466,836.3090869,Female,Graduate,2,4,Yes,2,54,10924374.73,no,1,no,own
68,1130783.077,Housewife,1196569.143,823.5357009,Female,Post Graduate,1,1,Yes,28,38,9323379.081,no,2,yes,owned
59,800631.5593,Housewife,729701.6614,601.8060915,Female,Graduate,2,5,Yes,38,55,10441948.68,no,2,yes,owned
48,625865.9342,Salaried,585582.534,622.3837134,Female,Graduate,1,5,Yes,1,49,9716828.864,no,0,yes,rented
50,737960.3019,Other,1077298.406,660.5836753,Male,Graduate,0,3,Yes,21,34,9039801.341,no,2,yes,own
31,1095950.179,Business,606950.2821,808.5196731,Female,Graduate,2,4,No,7,38,10236222.47,yes,2,yes,own
45,1085655.162,Salaried,1064777.475,601.7734706,Male,Graduate,3,1,No,24,26,9386280.122,yes,4,no,own
62,1051274.788,Business,1145323.919,840.7037076,Female,Graduate,3,6,Yes,4,29,9455506.351,no,0,no,owned
55,624949.684,Housewife,1084405.487,800.4386436,Male,Post Graduate,1,1,Yes,31,44,10819348.78,no,2,yes,rented
66,1053262.525,Salaried,1089746.341,842.4463427,Female,Under Graduate,2,3,No,2,16,9261085.164,yes,3,no,owned
53,958846.8216,Other,506774.5144,645.2367662,Male,Under Graduate,0,2,No,15,25,9997525.415,no,0,no,owned
43,739879.2494,Salaried,533265.0507,783.7366833,Male,Graduate,1,6,Yes,17,23,9671440.42,no,0,no,rented
58,745820.0355,Housewife,1073226.045,670.8894814,Female,Graduate,1,4,Yes,26,52,10076880.15,no,2,no,owned
40,632805.1124,Business,1112513.969,833.5142466,Male,Post Graduate,2,3,No,12,56,10418530.38,yes,0,no,own
65,542711.0694,Other,740909.4099,776.9273872,Male,Graduate,0,6,No,9,56,10707269.23,yes,1,yes,owned
39,675763.1557,Salaried,1030936.723,662.5038951,Male,Post Graduate,0,1,Yes,1,26,10428024.11,no,2,yes,rented
50,536203.9425,Other,872885.9199,766.1095623,Male,Under Graduate,0,5,Yes,24,53,10188599.6,yes,1,yes,own
58,641036.7813,Salaried,992792.6072,658.9259025,Male,Post Graduate,0,1,No,28,12,10866727.94,no,2,no,owned
46,1071420.919,Housewife,692128.0151,615.9533482,Male,Graduate,0,3,Yes,27,51,10618549.36,yes,3,yes,rented
58,638159.1297,Business,708214.1852,632.0989629,Male,Post Graduate,1,1,No,9,29,9452441.681,no,2,no,owned
57,620649.5401,Business,790647.7324,615.2175833,Female,Post Graduate,2,2,Yes,28,41,10591243.57,yes,2,yes,owned
43,751258.2372,Other,578323.4743,827.4062608,Male,Graduate,0,4,Yes,15,32,9269853.684,yes,1,no,own
59,936134.7515,Other,547443.8656,687.6613815,Male,Graduate,0,4,No,1,30,10022585.25,yes,4,no,owned
55,1146701.823,Business,569714.4904,697.1456385,Female,Graduate,2,5,Yes,14,32,9671660.295,yes,4,no,owned
55,892225.7862,Housewife,1054824.509,628.8394173,Female,Post Graduate,3,1,Yes,10,30,10281528.77,no,1,no,owned
32,973783.4119,Salaried,640734.2476,796.6785383,Male,Post Graduate,0,6,Yes,4,19,9610790.213,yes,3,yes,rented
56,650628.9988,Salaried,970957.6109,742.8708165,Female,Post Graduate,3,2,Yes,5,31,9671483.442,yes,3,yes,rented
27,1180713.256,Other,899030.6919,781.4379218,Female,Under Graduate,0,2,Yes,8,58,10411246.02,no,1,no,rented
30,1049513.791,Housewife,872665.0653,839.9562219,Male,Post Graduate,0,4,No,1,45,10802453.1,no,1,yes,own
29,1120188.865,Housewife,591684.986,713.4874454,Male,Post Graduate,3,1,No,10,40,10085271.98,yes,3,yes,own
69,513263.0762,Business,645925.9108,732.8481593,Female,Post Graduate,3,5,No,3,31,10669133.19,yes,1,no,owned
42,641059.2531,Salaried,551040.1269,657.3770216,Male,Graduate,1,5,Yes,8,11,9446340.72,no,2,no,rented
67,913136.9511,Salaried,577009.4444,758.1361081,Female,Graduate,2,1,Yes,25,15,10321502.1,yes,3,yes,owned
41,680094.1932,Housewife,594135.4913,681.6650665,Female,Under Graduate,3,4,Yes,10,45,9123597.275,yes,1,yes,own
37,728608.2632,Salaried,1012981.697,605.2905106,Female,Post Graduate,0,1,No,13,53,10392123.24,yes,0,no,own
62,500507.1318,Housewife,1182136.262,616.6246931,Female,Graduate,1,4,No,10,25,9857313.367,no,0,yes,owned
47,708567.6198,Housewife,783738.9526,725.1450174,Female,Graduate,3,1,Yes,8,44,9698545.662,yes,3,yes,own
40,651049.7827,Housewife,1041479.533,712.9604656,Female,Post Graduate,0,4,No,3,38,9053575.408,yes,0,yes,own
41,1153879.923,Business,1199179.015,622.1338009,Female,Graduate,3,5,Yes,12,56,10316377.64,no,0,yes,rented
46,1026494.878,Housewife,904939.0693,665.5485952,Female,Graduate,0,2,Yes,5,36,9386282.251,no,1,no,own
57,731986.6915,Other,1082144.996,641.1529387,Male,Under Graduate,2,1,Yes,18,43,9898217.119,yes,2,no,owned
54,1177131.102,Housewife,1165985.076,758.3095773,Female,Post Graduate,1,6,Yes,23,53,10778853.21,no,2,yes,owned
59,731283.8461,Business,691273.1239,724.8565198,Male,Under Graduate,2,1,Yes,40,42,10484429.98,yes,0,yes,rented
59,611242.991,Salaried,1098982.758,827.6763343,Male,Post Graduate,1,5,Yes,27,34,9284202.975,no,2,yes,rented
66,695353.7177,Business,741442.078,632.8734789,Male,Under Graduate,3,5,No,8,15,10441810.8,yes,1,yes,owned
40,554176.589,Business,777540.577,626.658539,Female,Graduate,3,5,Yes,2,12,10886803.61,yes,4,no,rented
33,673352.8364,Salaried,1107132.794,725.5298216,Male,Under Graduate,3,3,Yes,4,14,10851308.64,yes,0,yes,own
68,1150267.803,Other,1127844.457,608.6000725,Male,Graduate,0,1,No,5,57,9583532.396,no,1,yes,owned
63,674347.2625,Housewife,995723.4607,624.0854529,Female,Under Graduate,0,4,Yes,30,41,10999801.56,yes,2,yes,owned
63,1021979.764,Business,664687.5429,620.0751683,Male,Under Graduate,0,6,No,8,26,9341015.23,yes,1,no,owned
31,665102.2039,Other,603366.6192,790.5911575,Female,Graduate,3,2,No,10,34,9440252.555,no,2,no,own
40,1039374.349,Salaried,1060476.706,606.1614091,Female,Graduate,0,3,No,14,17,10657268.98,no,1,yes,rented
42,663104.1289,Housewife,1112541.096,678.8419161,Male,Under Graduate,0,6,Yes,7,23,10526983.98,yes,0,no,own
55,968885.2373,Other,1114680.637,702.8719495,Female,Graduate,2,3,Yes,16,59,10847433.41,yes,0,yes,owned
38,910960.9022,Housewife,1110474.747,620.0930505,Female,Graduate,1,1,Yes,13,42,9183461.977,no,2,yes,rented
66,1093346.662,Other,1022864.935,630.3471881,Male,Post Graduate,0,4,Yes,35,30,10052463.34,yes,4,no,owned
62,1162396.595,Housewife,801945.6176,844.6745709,Female,Graduate,1,1,Yes,41,20,10946847.88,yes,1,no,owned
44,1006239.473,Business,931334.958,808.7465005,Male,Graduate,3,3,Yes,11,55,10137118.51,no,1,yes,rented
59,845144.8255,Other,895851.4781,754.2766857,Female,Graduate,1,6,Yes,14,44,10823139.41,yes,0,yes,rented
39,1040879.694,Business,1113811.41,682.7239612,Female,Post Graduate,1,6,No,18,57,9310855.165,no,2,no,own
62,1129703.8,Business,1099417.311,695.7232729,Male,Graduate,1,2,Yes,40,14,10571977.06,no,1,yes,owned
68,584218.5179,Business,936965.7159,731.360089,Female,Post Graduate,0,2,Yes,26,50,9770775.765,no,2,yes,owned
39,669636.0272,Salaried,707979.6252,609.8404974,Female,Graduate,0,4,No,19,32,10336917.8,no,2,yes,own
61,634513.5498,Housewife,797782.4922,661.3351692,Male,Under Graduate,0,5,No,8,31,10729076.81,yes,0,yes,owned
61,993884.568,Other,560486.5093,804.8068311,Female,Post Graduate,0,5,Yes,24,39,9310083.428,yes,1,yes,owned
30,853223.7527,Salaried,696497.509,735.66225,Female,Under Graduate,2,1,No,7,27,9201737.079,yes,3,yes,rented
29,949136.0006,Salaried,611561.6174,609.9732911,Female,Graduate,2,4,Yes,1,58,9394105.637,no,1,yes,rented
36,535865.0906,Housewife,1037608.23,811.2941314,Male,Graduate,1,4,Yes,14,21,9152893.461,no,2,no,rented
54,940528.169,Salaried,805318.4469,630.5136473,Female,Under Graduate,1,6,Yes,2,19,9406626.158,yes,2,yes,owned
54,931421.6452,Business,854848.3546,653.8011547,Female,Under Graduate,3,6,Yes,34,46,9626486.885,no,1,yes,owned
35,783918.2767,Business,544632.2084,813.7180384,Female,Post Graduate,1,6,No,4,20,10329703.72,yes,3,no,rented
38,1149447.839,Salaried,517703.563,760.6958583,Female,Post Graduate,3,3,No,5,24,9793939.821,yes,0,no,own
44,1181329.316,Housewife,1071885.952,784.6102851,Male,Post Graduate,3,4,Yes,1,22,9605332.727,no,2,no,own
28,809545.0771,Housewife,816223.7904,820.4799773,Female,Post Graduate,1,5,Yes,9,41,10224710.45,no,0,no,rented
28,792675.9951,Salaried,881123.6994,793.2708613,Male,Graduate,2,2,Yes,6,22,9000628.397,no,1,no,rented
64,1030697.962,Housewife,999932.6858,628.7910931,Male,Graduate,3,6,No,31,23,10784205.44,yes,1,no,owned
34,691280.9681,Other,565603.7338,695.4711157,Male,Under Graduate,0,5,Yes,5,12,10880129.71,yes,0,yes,rented
27,974860.3581,Housewife,1098031.357,612.8264488,Female,Post Graduate,0,1,Yes,1,59,10423609.12,yes,2,yes,own
28,883914.6933,Other,990891.2006,766.8888432,Male,Under Graduate,1,3,No,5,27,10601753.32,no,2,yes,own
45,820371.4662,Other,794496.9526,838.7504212,Female,Post Graduate,2,3,No,17,34,10570686.83,yes,3,yes,own
62,719875.1107,Salaried,522392.6327,692.8072469,Male,Graduate,2,5,Yes,13,50,9434896.613,no,2,no,owned
69,1137152.008,Housewife,546442.3975,702.0167809,Female,Graduate,0,5,No,31,32,10776013.46,yes,3,yes,owned
69,664080.8039,Other,613448.8417,787.160615,Male,Post Graduate,3,5,No,30,22,9713644.338,yes,3,no,owned
43,565382.2044,Other,677015.8018,605.7022616,Male,Graduate,3,3,Yes,24,33,10375627.98,no,0,yes,rented
67,1002256.859,Salaried,931438.9628,614.9022435,Female,Graduate,0,6,No,15,51,10092739.65,yes,3,no,owned
38,958441.0891,Housewife,577695.3199,716.4596825,Female,Under Graduate,2,2,No,19,45,9767377.88,no,1,no,own
45,648894.4822,Business,639699.5237,714.2960426,Female,Graduate,3,5,No,4,11,9759821.469,no,1,yes,own
