Age,Annual Income,Occupation,AccountBalance,credit_score,Gender,Education,Active_loans,Bank_Products,Fixed Deposit,Tenure,LastMonthTrans,Networth,Married,Dependents,Vehicle,House
25,2000,Housewife,10000,589.09375,Female,Graduate,0,1,Yes,5,7,100000,yes,3,no,rented
40,540000,Business,1300000,378.0,Male,Graduate,0,3,No,13,67,2244554,yes,1,no,own
35,960000,Business,85000,500.0,Female,Graduate,1,2,Yes,9,57,3354434,yes,3,no,rented
50,500000,Business,88165,650.0,Female,Under Graduate,1,2,No,2,49,3343435,yes,5,yes,rented
28,1452000,Salaried,400543,700.0,Male,Graduate,2,4,No,7,48,3808000,yes,3,yes,own
46,780000,Salaried,10000,750.0,Male,Post Graduate,2,1,No,14,29,1900000,yes,5,no,rented
60,500000,Salaried,148000,750.0,Male,Under Graduate,1,3,Yes,15,45,1559000,yes,4,no,rented
43,0,Housewife,35000,720.0,Female,Under Graduate,2,2,No,5,10,100000,yes,0,yes,rented
34,660000,Salaried,35000,720.0,Male,Graduate,2,2,Yes,7,57,1640000,yes,2,yes,own
45,900000,Other,35000,680.0,Female,Post Graduate,1,3,No,13,25,3500000,yes,4,no,own
28,540000,Other,35000,620.0,Male,Under Graduate,3,3,Yes,9,19,700000,no,0,yes,own
52,1520000,Salaried,40000,700.0,Female,Graduate,2,3,Yes,15,52,4087970,yes,3,no,rented
30,768000,Salaried,35000,700.0,Female,Graduate,2,3,Yes,8,32,1856980,yes,1,yes,rented
21,840000,Salaried,200000,414.0,Female,Graduate,2,3,Yes,2,37,512000,no,0,no,own
48,576000,Other,100000,817.0,Male,Graduate,3,4,Yes,19,49,1567654,yes,5,yes,rented
42,260000,Housewife,100000,759.0,Female,Graduate,0,2,Yes,16,36,1028540,yes,1,no,rented
21,0,Other,800,711.0,Male,Graduate,0,3,Yes,1,4,0,no,0,yes,rented
21,340000,Other,100,700.0,Male,Under Graduate,0,2,No,2,13,560000,no,0,no,rented
51,960000,Business,310567,568.0,Male,Post Graduate,2,3,No,18,43,2800000,yes,4,no,rented
48,600000,Salaried,25000,589.09375,Male,Graduate,1,1,Yes,15,25,2156980,yes,5,yes,rented
63,660000,Business,506155,309.0,Male,Graduate,4,2,No,21,46,1878920,yes,3,yes,rented
65,840000,Other,679000,459.0,Male,Post Graduate,1,3,Yes,22,58,3176670,yes,5,yes,rented
47,780000,Business,540657,565.0,Male,Under Graduate,3,3,No,13,51,1945000,yes,3,no,rented
36,450000,Business,1260000,679.0,Male,Under Graduate,2,4,Yes,10,61,1234000,yes,2,yes,rented
45,300000,Salaried,200000,589.09375,Male,Under Graduate,1,1,Yes,17,23,1500000,yes,4,yes,rented
33,500000,Salaried,760560,589.0,Male,Under Graduate,0,4,No,7,26,2000000,yes,3,no,own
29,7500000,Salaried,450560,423.0,Female,Post Graduate,5,3,No,4,37,2500000,yes,2,yes,rented
34,720000,Business,678000,655.0,Male,Post Graduate,2,3,Yes,9,31,1000000,yes,5,no,own
24,2550000,Other,30000,400.0,Female,Graduate,0,1,No,2,10,1600000,no,3,no,own
28,600000,Salaried,90000,780.0,Male,Post Graduate,2,1,Yes,5,30,2200000,yes,4,yes,own
50,500678,Other,150000,765.0,Male,Graduate,3,3,Yes,18,12,899500,yes,6,yes,rented
38,800000,Salaried,860540,582.0,Female,Under Graduate,2,4,Yes,11,67,1365467,yes,2,no,rented
46,750000,Salaried,80000,564.0,Female,Post Graduate,3,3,Yes,19,49,2880076,yes,3,no,rented
41,500000,Salaried,578000,546.0,Female,Post Graduate,2,3,Yes,12,28,1245600,yes,5,yes,own
43,1200000,Business,670000,689.0,Female,Post Graduate,3,3,Yes,14,17,6734589,yes,4,no,own
22,300000,Salaried,150000,800.0,Male,Under Graduate,0,2,Yes,2,36,700000,no,1,no,own
56,405000,Salaried,98500,433.0,Male,Under Graduate,1,3,Yes,23,31,1750000,yes,6,no,own
30,3400000,Salaried,45000,786.0,Male,Under Graduate,2,2,Yes,6,40,1130000,yes,3,yes,rented
27,245000,Salaried,10000,700.0,Male,Graduate,0,2,No,3,41,400567,yes,2,yes,rented
46,250000,Other,34000,650.0,Male,Under Graduate,0,1,Yes,8,10,1205600,yes,4,no,rented
40,40000,Salaried,200000,836.0,Male,Graduate,1,3,Yes,13,39,2350000,yes,4,yes,own
22,0,Other,1100,776.0,Male,Under Graduate,0,2,No,1,51,23000,no,0,yes,rented
44,450000,Business,50000,850.0,Male,Under Graduate,0,2,No,15,64,600050,yes,3,no,own
31,500000,Business,150000,750.0,Male,Under Graduate,3,1,Yes,3,24,1245000,yes,7,yes,rented
30,800000,Salaried,10000,589.09375,Male,Graduate,0,1,Yes,6,49,1000000,yes,3,no,own
35,1200000,Other,20000,780.0,Male,Under Graduate,3,4,Yes,9,53,2500000,yes,4,yes,own
40,100000,Housewife,10000,589.09375,Female,Graduate,0,1,Yes,2,67,2700000,yes,2,yes,rented
35,400000,Salaried,200000,589.09375,Female,Under Graduate,2,1,Yes,5,34,200000,yes,1,no,rented
50,500000,Business,500000,589.09375,Male,Under Graduate,2,1,No,6,31,3400000,yes,5,yes,own
75,40000,Other,15000,589.09375,Male,Graduate,0,2,Yes,21,15,2400000,yes,3,no,own
51,480000,Other,10000,700.0,Male,Graduate,0,1,No,7,24,4100000,yes,3,yes,rented
32,832000,Salaried,23000,750.0,Male,Graduate,2,4,No,8,44,700000,yes,3,no,own
50,1000000,Salaried,500000,750.0,Male,Graduate,0,1,Yes,3,27,30000000,yes,8,no,rented
21,0,Other,0,589.09375,Male,Graduate,0,1,No,2,52,24000,no,0,no,rented
40,100000,Housewife,4000,589.09375,Female,Graduate,0,1,No,1,46,53000,yes,0,no,own
33,325000,Salaried,17000,600.0,Male,Graduate,1,2,No,7,59,1800000,yes,2,yes,own
21,0,Other,5000,480.0,Male,Under Graduate,0,1,No,1,54,13500,no,0,no,rented
49,700000,Other,100000,750.0,Male,Graduate,0,1,Yes,13,21,2600000,yes,3,no,rented
21,0,Other,5000,771.0,Male,Under Graduate,0,1,No,2,69,17500,no,0,no,rented
60,600000,Salaried,70000,700.0,Male,Post Graduate,0,1,No,15,13,3100000,yes,2,yes,own
55,500000,Other,10000,700.0,Male,Graduate,0,1,No,14,22,1600000,yes,4,no,rented
30,720000,Salaried,200000,750.0,Male,Post Graduate,1,6,Yes,14,61,400000,yes,2,yes,rented
55,600000,Other,100000,789.0,Male,Under Graduate,2,3,No,19,24,3700000,yes,3,no,rented
28,120000,Housewife,20000,786.0,Female,Under Graduate,0,1,No,6,65,50599,yes,1,no,own
54,240000,Other,5000,768.0,Female,Under Graduate,1,2,No,17,34,134000,yes,3,yes,rented
57,45569,Salaried,5357,671.8123098270565,Female,Post Graduate,1,1,Yes,33,28,537645,yes,4,yes,owned
53,220464,Business,17298,788.2290684382835,Male,Post Graduate,1,6,No,16,45,525714,no,0,no,owned
50,306117,Business,5696,803.7116321661407,Male,Under Graduate,3,4,No,28,20,432781,no,1,yes,own
67,101200,Salaried,6294,733.2720145449251,Female,Post Graduate,0,2,No,4,11,113570,no,0,yes,owned
36,111293,Salaried,9739,760.5185350822719,Female,Post Graduate,0,6,No,9,24,140966,yes,2,yes,own
46,80377,Other,6370,775.8017167336133,Male,Under Graduate,0,4,No,2,22,118495,yes,0,no,own
27,130995,Salaried,10544,691.500645962682,Male,Graduate,3,1,Yes,3,49,119137,no,1,no,own
65,397898,Business,39185,708.9372855544477,Male,Post Graduate,1,3,Yes,28,16,811637,no,1,no,owned
52,353845,Business,9552,751.8700295047303,Female,Graduate,0,2,Yes,2,58,566951,yes,2,no,owned
47,305198,Other,15489,679.8249807748124,Female,Under Graduate,3,6,No,20,18,376941,yes,0,yes,rented
55,413596,Housewife,22326,760.7419443224992,Female,Graduate,2,5,Yes,1,16,63566,no,0,no,owned
34,426520,Business,23199,753.4474809984652,Female,Under Graduate,2,4,Yes,15,52,676988,yes,0,yes,own
60,183948,Salaried,8562,788.0147183900791,Female,Graduate,0,4,No,37,15,53986,no,1,yes,owned
67,441605,Salaried,23867,641.4770603851993,Male,Graduate,2,3,Yes,37,52,43536,no,1,no,owned
48,88202,Other,7578,751.8134185964567,Male,Post Graduate,0,6,No,15,21,546524,no,1,yes,own
48,441614,Housewife,35170,650.2423589379979,Female,Under Graduate,2,4,Yes,25,16,922324,yes,2,yes,own
57,474324,Salaried,5013,616.5059957274755,Female,Post Graduate,2,1,No,19,15,265134,no,0,no,owned
45,313083,Other,22110,752.980001287367,Female,Post Graduate,0,6,Yes,17,40,706807,no,2,yes,rented
66,375632,Housewife,21898,715.8029932332007,Male,Post Graduate,3,3,Yes,24,47,655635,yes,4,no,owned
65,405157,Salaried,33911,744.9258761468482,Male,Under Graduate,2,5,Yes,15,44,482413,no,0,yes,owned
38,342722,Housewife,7744,813.6612765471275,Male,Post Graduate,0,3,Yes,10,24,33355,no,2,no,own
46,34666,Housewife,3692,612.8065645515366,Female,Under Graduate,0,5,Yes,23,11,211757,yes,0,yes,own
58,359128,Business,18114,651.9314326247322,Female,Under Graduate,1,4,Yes,31,42,171639,no,2,yes,owned
30,132907,Other,6003,611.8581422538085,Male,Graduate,2,2,Yes,8,32,310173,no,0,yes,own
59,488889,Housewife,38708,815.811240433035,Female,Post Graduate,0,1,Yes,37,30,389759,no,2,yes,owned
62,229855,Housewife,19746,671.5725637721109,Female,Post Graduate,0,3,Yes,43,26,265091,yes,3,yes,owned
49,219967,Other,15801,756.7308051764647,Male,Graduate,3,2,Yes,8,44,392787,no,2,yes,own
26,250352,Business,12257,767.811982820749,Female,Graduate,1,3,No,2,58,217116,no,0,yes,own
46,428213,Housewife,7606,604.2140611209793,Male,Under Graduate,3,1,No,14,48,532480,yes,1,yes,own
27,431186,Business,13264,630.3025889609963,Female,Graduate,1,6,No,8,28,354413,yes,2,no,rented
62,457485,Other,26916,802.0269989193239,Male,Under Graduate,1,1,Yes,37,45,283597,yes,4,yes,owned
26,246060,Housewife,14338,748.1165647149946,Male,Under Graduate,0,6,Yes,7,45,201188,no,0,yes,own
26,474746,Business,9421,675.1550936339199,Female,Under Graduate,2,1,No,7,34,889365,no,0,no,rented
29,234564,Housewife,14737,842.4116143121717,Male,Under Graduate,0,2,No,4,22,373878,no,1,yes,rented
38,455607,Other,27750,779.567980310972,Female,Graduate,3,5,Yes,9,32,652596,yes,3,yes,own
54,353217,Salaried,30342,717.6160386658299,Male,Post Graduate,1,2,No,18,30,103264,yes,3,no,owned
38,221771,Salaried,22091,673.2110183739246,Male,Graduate,3,4,No,2,41,471144,no,1,yes,rented
54,380741,Other,30225,814.1730273746691,Female,Under Graduate,1,1,Yes,11,46,472862,yes,3,no,owned
64,408871,Business,39944,685.2056828498552,Male,Post Graduate,0,4,Yes,5,26,268709,yes,4,yes,owned
39,252863,Business,17504,815.4861906594599,Female,Graduate,0,3,No,16,18,222545,no,1,no,rented
45,494403,Salaried,48162,775.7569496185421,Female,Post Graduate,0,6,Yes,20,49,443419,yes,3,yes,rented
39,105509,Other,6297,801.7791533792082,Male,Under Graduate,2,2,Yes,1,38,110835,yes,4,no,rented
44,499625,Other,27077,648.8605006935661,Male,Graduate,0,4,Yes,17,14,975017,yes,4,yes,rented
27,325997,Business,16376,740.0403556132409,Male,Graduate,3,4,No,5,54,294567,yes,3,yes,own
56,150953,Housewife,14800,716.8486807022623,Male,Graduate,2,3,No,17,35,67644,no,2,yes,owned
61,101378,Business,8871,812.3647661995301,Female,Post Graduate,1,1,No,22,40,413008,yes,4,yes,owned
65,376295,Housewife,5214,713.7061539649201,Female,Post Graduate,1,3,Yes,3,50,655069,yes,1,no,owned
36,149106,Business,12243,751.9375972483829,Male,Post Graduate,1,1,No,15,21,237831,yes,2,yes,rented
26,40361,Housewife,4809,811.7916048597671,Male,Under Graduate,0,5,No,2,23,373561,yes,1,no,own
29,126082,Business,11983,766.8753150415898,Male,Under Graduate,3,5,No,2,41,492521,yes,2,yes,rented
30,130855,Business,12198,736.475015425826,Male,Graduate,3,4,No,9,45,558330,yes,1,no,own
59,294576,Other,11054,812.4126568614622,Male,Graduate,3,6,No,7,36,786897,no,2,yes,owned
65,89402,Housewife,5033,825.9738034160889,Male,Post Graduate,3,5,Yes,9,48,294671,no,0,yes,owned
62,175313,Housewife,10882,661.391719995153,Female,Post Graduate,2,6,Yes,24,44,302314,no,1,yes,rented
55,221645,Other,7891,800.9736077970451,Female,Under Graduate,1,5,Yes,15,53,299300,yes,4,no,owned
43,168045,Other,12322,632.8486626364123,Male,Post Graduate,0,6,Yes,20,52,222597,no,2,no,rented
65,385512,Housewife,19599,759.1733800161632,Female,Post Graduate,0,4,No,14,39,358002,no,0,no,owned
47,41876,Housewife,4999,617.5260743797692,Female,Post Graduate,0,4,No,9,45,338183,no,2,no,own
63,77648,Salaried,5341,820.0478440015904,Female,Under Graduate,2,5,No,43,57,530598,no,0,yes,rented
63,327571,Other,20448,749.8777025556458,Female,Post Graduate,1,5,No,6,17,147407,no,0,yes,rented
28,74146,Housewife,5884,759.3292695971707,Male,Post Graduate,3,6,Yes,8,49,120490,no,0,yes,rented
26,121774,Business,5525,697.7091926231877,Male,Under Graduate,2,1,No,1,44,341572,no,1,no,rented
48,489990,Salaried,32317,836.3090868622663,Female,Graduate,2,4,Yes,2,54,813339,no,1,no,own
68,418518,Housewife,20787,823.5357008547476,Female,Post Graduate,1,1,Yes,28,38,578536,no,2,yes,owned
59,121540,Housewife,7840,601.8060915436336,Female,Graduate,2,5,Yes,38,55,575728,no,2,yes,owned
48,81293,Salaried,7060,622.3837133873834,Female,Graduate,1,5,Yes,1,49,300708,no,0,yes,rented
50,341684,Other,30814,660.5836753134033,Male,Graduate,0,3,Yes,21,34,555024,no,2,yes,own
31,129167,Business,9215,808.5196730938013,Female,Graduate,2,4,No,7,38,139424,yes,2,yes,own
45,211188,Salaried,11609,601.7734705702931,Male,Graduate,3,1,No,24,26,301825,yes,4,no,own
62,49815,Business,5855,840.7037076289771,Female,Graduate,3,6,Yes,4,29,265259,no,0,no,owned
55,241613,Housewife,18359,800.438643584616,Male,Post Graduate,1,1,Yes,31,44,214680,no,2,yes,rented
66,482847,Salaried,19087,842.4463426932432,Female,Under Graduate,2,3,No,2,16,338600,yes,3,no,owned
53,496330,Other,30102,645.236766222583,Male,Under Graduate,0,2,No,15,25,146278,no,0,no,owned
43,42975,Salaried,4969,783.7366832594455,Male,Graduate,1,6,Yes,17,23,263558,no,0,no,rented
58,391433,Housewife,20555,670.8894814444773,Female,Graduate,1,4,Yes,26,52,606942,no,2,no,owned
40,210182,Business,16216,833.5142466311214,Male,Post Graduate,2,3,No,12,56,421861,yes,0,no,own
65,475559,Other,5885,776.9273872007401,Male,Graduate,0,6,No,9,56,275664,yes,1,yes,owned
39,312039,Salaried,17372,662.503895139034,Male,Post Graduate,0,1,Yes,1,26,183136,no,2,yes,rented
50,212131,Other,11983,766.1095623217088,Male,Under Graduate,0,5,Yes,24,53,185694,yes,1,yes,own
58,449022,Salaried,14160,658.9259024739715,Male,Post Graduate,0,1,No,28,12,16078,no,2,no,owned
46,145628,Housewife,9355,615.9533481819858,Male,Graduate,0,3,Yes,27,51,612831,yes,3,yes,rented
58,263728,Business,12807,632.098962866583,Male,Post Graduate,1,1,No,9,29,583946,no,2,no,owned
57,251067,Business,6119,615.2175833093389,Female,Post Graduate,2,2,Yes,28,41,78040,yes,2,yes,owned
43,91994,Other,9144,827.4062608490528,Male,Graduate,0,4,Yes,15,32,308284,yes,1,no,own
59,321005,Other,30232,687.661381469519,Male,Graduate,0,4,No,1,30,731860,yes,4,no,owned
55,112161,Business,7435,697.1456384687161,Female,Graduate,2,5,Yes,14,32,356262,yes,4,no,owned
55,125689,Housewife,12481,628.8394173220153,Female,Post Graduate,3,1,Yes,10,30,334607,no,1,no,owned
32,444790,Salaried,10040,796.678538302504,Male,Post Graduate,0,6,Yes,4,19,420752,yes,3,yes,rented
56,294714,Salaried,14096,742.8708165018181,Female,Post Graduate,3,2,Yes,5,31,436973,yes,3,yes,rented
27,265306,Other,19982,781.4379218179799,Female,Under Graduate,0,2,Yes,8,58,90338,no,1,no,rented
30,140288,Housewife,6764,839.9562218662309,Male,Post Graduate,0,4,No,1,45,99863,no,1,yes,own
29,337597,Housewife,27968,713.487445420116,Male,Post Graduate,3,1,No,10,40,407871,yes,3,yes,own
69,145886,Business,5270,732.8481593198707,Female,Post Graduate,3,5,No,3,31,305625,yes,1,no,owned
42,466475,Salaried,26888,657.377021560636,Male,Graduate,1,5,Yes,8,11,298982,no,2,no,rented
67,240037,Salaried,5355,758.1361080788954,Female,Graduate,2,1,Yes,25,15,421067,yes,3,yes,owned
41,261718,Housewife,14574,681.6650665133917,Female,Under Graduate,3,4,Yes,10,45,547571,yes,1,yes,own
37,310762,Salaried,19802,605.2905106282317,Female,Post Graduate,0,1,No,13,53,28903,yes,0,no,own
62,173767,Housewife,15783,616.6246930942918,Female,Graduate,1,4,No,10,25,297764,no,0,yes,owned
47,289253,Housewife,22986,725.1450174379208,Female,Graduate,3,1,Yes,8,44,78112,yes,3,yes,own
40,124220,Housewife,11287,712.960465599259,Female,Post Graduate,0,4,No,3,38,389805,yes,0,yes,own
41,66176,Business,6336,622.1338008771654,Female,Graduate,3,5,Yes,12,56,488572,no,0,yes,rented
46,238665,Housewife,13515,665.548595208202,Female,Graduate,0,2,Yes,5,36,451472,no,1,no,own
57,220741,Other,12459,641.152938662904,Male,Under Graduate,2,1,Yes,18,43,504702,yes,2,no,owned
54,150086,Housewife,11336,758.3095772548672,Female,Post Graduate,1,6,Yes,23,53,594805,no,2,yes,owned
59,232770,Business,6353,724.8565198084267,Male,Under Graduate,2,1,Yes,40,42,542545,yes,0,yes,rented
59,66462,Salaried,6615,827.6763343298053,Male,Post Graduate,1,5,Yes,27,34,174753,no,2,yes,rented
66,273038,Business,19699,632.8734789378308,Male,Under Graduate,3,5,No,8,15,325122,yes,1,yes,owned
40,401553,Business,8601,626.6585390430453,Female,Graduate,3,5,Yes,2,12,795737,yes,4,no,rented
33,105770,Salaried,8383,725.5298216277923,Male,Under Graduate,3,3,Yes,4,14,604071,yes,0,yes,own
68,77305,Other,7616,608.6000725481217,Male,Graduate,0,1,No,5,57,416050,no,1,yes,owned
63,301085,Housewife,12825,624.0854528519826,Female,Under Graduate,0,4,Yes,30,41,330411,yes,2,yes,owned
63,332332,Business,6104,620.0751683200217,Male,Under Graduate,0,6,No,8,26,474798,yes,1,no,owned
31,474570,Other,19155,790.5911574902187,Female,Graduate,3,2,No,10,34,221157,no,2,no,own
40,56953,Salaried,5455,606.1614091197523,Female,Graduate,0,3,No,14,17,259501,no,1,yes,rented
42,443830,Housewife,39330,678.8419161116046,Male,Under Graduate,0,6,Yes,7,23,158405,yes,0,no,own
55,396603,Other,6692,702.871949548,Female,Graduate,2,3,Yes,16,59,535556,yes,0,yes,owned
38,222000,Housewife,20305,620.0930505156006,Female,Graduate,1,1,Yes,13,42,549482,no,2,yes,rented
66,41089,Other,4300,630.3471880783,Male,Post Graduate,0,4,Yes,35,30,273529,yes,4,no,owned
62,313261,Housewife,17270,844.67457092129,Female,Graduate,1,1,Yes,41,20,562344,yes,1,no,owned
44,251120,Business,23579,808.7465004964557,Male,Graduate,3,3,Yes,11,55,219807,no,1,yes,rented
59,149181,Other,11571,754.2766857231097,Female,Graduate,1,6,Yes,14,44,646549,yes,0,yes,rented
39,473685,Business,25563,682.7239612128889,Female,Post Graduate,1,6,No,18,57,383302,no,2,no,own
62,317797,Business,12418,695.7232728872347,Male,Graduate,1,2,Yes,40,14,48841,no,1,yes,owned
68,160625,Business,13779,731.3600889860866,Female,Post Graduate,0,2,Yes,26,50,509316,no,2,yes,owned
39,447840,Salaried,41557,609.8404974455492,Female,Graduate,0,4,No,19,32,629999,no,2,yes,own
61,389789,Housewife,20853,661.3351691693912,Male,Under Graduate,0,5,No,8,31,154264,yes,0,yes,owned
61,267927,Other,19020,804.806831146386,Female,Post Graduate,0,5,Yes,24,39,589291,yes,1,yes,owned
30,205631,Salaried,8014,735.6622499989151,Female,Under Graduate,2,1,No,7,27,207202,yes,3,yes,rented
29,372138,Salaried,10217,609.9732911401493,Female,Graduate,2,4,Yes,1,58,233717,no,1,yes,rented
36,78754,Housewife,5476,811.294131434322,Male,Graduate,1,4,Yes,14,21,501185,no,2,no,rented
54,331812,Salaried,16722,630.5136472899612,Female,Under Graduate,1,6,Yes,2,19,122583,yes,2,yes,owned
54,456258,Business,29067,653.8011547299867,Female,Under Graduate,3,6,Yes,34,46,250104,no,1,yes,owned
35,354731,Business,22085,813.7180383646867,Female,Post Graduate,1,6,No,4,20,535182,yes,3,no,rented
38,297962,Salaried,21640,760.6958582519234,Female,Post Graduate,3,3,No,5,24,121242,yes,0,no,own
44,184059,Housewife,5559,784.6102850600339,Male,Post Graduate,3,4,Yes,1,22,251741,no,2,no,own
28,95029,Housewife,5387,820.4799773230424,Female,Post Graduate,1,5,Yes,9,41,593256,no,0,no,rented
28,345717,Salaried,13963,793.270861254439,Male,Graduate,2,2,Yes,6,22,127726,no,1,no,rented
64,396020,Housewife,15631,628.7910930582892,Male,Graduate,3,6,No,31,23,576242,yes,1,no,owned
34,440073,Other,13441,695.4711156740691,Male,Under Graduate,0,5,Yes,5,12,601071,yes,0,yes,rented
27,97798,Housewife,6704,612.8264488387795,Female,Post Graduate,0,1,Yes,1,59,366117,yes,2,yes,own
28,42733,Other,4732,766.8888431510989,Male,Under Graduate,1,3,No,5,27,152028,no,2,yes,own
45,116384,Other,10331,838.7504211788662,Female,Post Graduate,2,3,No,17,34,520567,yes,3,yes,own
62,232199,Salaried,10398,692.8072469165264,Male,Graduate,2,5,Yes,13,50,344526,no,2,no,owned
69,443720,Housewife,21586,702.0167809018146,Female,Graduate,0,5,No,31,32,709451,yes,3,yes,owned
69,483346,Other,45833,787.1606149501928,Male,Post Graduate,3,5,No,30,22,513668,yes,3,no,owned
43,264346,Other,12532,605.702261588255,Male,Graduate,3,3,Yes,24,33,713277,no,0,yes,rented
67,279831,Salaried,16071,614.902243532361,Female,Graduate,0,6,No,15,51,367942,yes,3,no,owned
38,432005,Housewife,25207,716.4596825364706,Female,Under Graduate,2,2,No,19,45,468130,no,1,no,own
45,479363,Business,11682,714.2960425743046,Female,Graduate,3,5,No,4,11,768618,no,1,yes,own
40,247024,Other,18494,795.5219707709675,Female,Post Graduate,3,4,No,2,14,634414,yes,4,no,own
42,234667,Housewife,13962,617.5089710525897,Male,Graduate,0,3,Yes,11,22,144655,no,1,no,own
36,35341,Housewife,3848,789.3135829641682,Male,Graduate,3,5,Yes,5,57,95921,no,1,yes,own
27,74016,Other,5740,729.0484030734073,Female,Graduate,1,4,Yes,7,56,317364,no,2,no,rented
27,306640,Housewife,26316,661.0703598819293,Male,Post Graduate,3,4,No,7,26,310494,no,1,yes,rented
47,219377,Salaried,10671,689.3000938714613,Female,Under Graduate,3,4,No,8,20,149835,yes,0,no,own
53,272614,Housewife,14277,743.6787767579514,Female,Under Graduate,2,4,No,7,51,624275,no,1,no,owned
33,445538,Housewife,44362,813.0370832042887,Male,Graduate,2,5,No,8,17,118122,yes,4,yes,own
43,352221,Other,12532,816.5127863122278,Male,Graduate,2,6,Yes,24,59,199829,no,2,no,own
64,429477,Other,24019,811.7040430069701,Male,Graduate,0,2,No,39,45,340498,yes,0,no,rented
53,253605,Business,9343,825.8453639645443,Female,Post Graduate,1,3,Yes,29,40,248003,yes,0,yes,rented
27,394062,Business,32055,802.3756470285394,Female,Graduate,3,1,No,1,17,243978,yes,1,yes,rented
57,228238,Housewife,5422,743.6538013545243,Female,Under Graduate,2,4,Yes,16,51,405698,no,0,no,owned
28,341266,Housewife,28837,601.9273441723966,Female,Post Graduate,3,6,Yes,1,33,737057,no,1,no,rented
67,232825,Business,14312,736.1356679707774,Female,Under Graduate,0,2,Yes,2,45,298346,yes,3,no,rented
35,161519,Business,12863,601.707095218624,Female,Post Graduate,3,4,No,5,48,349569,no,2,no,rented
63,429230,Housewife,41256,827.051453960751,Male,Under Graduate,3,6,No,44,37,591786,yes,0,yes,owned
